BataryaGucu,Bluetooth,MikroislemciHizi,CiftHat,OnKameraMP,4G,DahiliBellek,Kalinlik,Agirlik,CekirdekSayisi,ArkaKameraMP,CozunurlukYükseklik,CozunurlukGenislik,RAM,BataryaOmru,3G,Dokunmatik,WiFi,FiyatAraligi,Renk
1986,Var,0.5,Var,7.0,Var,39,0.1,89,7,19,251,599,3476.0,17,Var,Var,Yok,Pahalı,Turuncu
1604,Var,1.9,Var,0.0,Var,63,0.6,93,5,2,641,1156,1464.0,20,Var,Var,Yok,Ucuz,Beyaz
543,Yok,0.5,Yok,0.0,Yok,57,0.7,192,5,4,391,984,2413.0,15,Var,Yok,Yok,Ucuz,Turkuaz
1715,Yok,1.3,Yok,0.0,Var,12,0.3,94,8,6,1224,1676,1633.0,5,Var,Var,Var,Normal,Yeşil
1010,Var,2.0,Var,2.0,Var,8,0.9,139,5,3,547,957,2625.0,12,Var,Var,Yok,Normal,Beyaz
1086,Var,1.7,Var,0.0,Var,43,0.2,111,6,1,56,1150,3285.0,17,Var,Var,Yok,Normal,Beyaz
1514,Var,1.4,Yok,3.0,Var,12,0.6,138,3,4,306,538,1037.0,15,Var,Yok,Var,Çok Ucuz,Gri
1742,Var,1.6,Yok,3.0,Yok,49,0.8,100,1,9,1134,1469,1947.0,6,Var,Yok,Var,Normal,Gri
1589,Yok,0.6,Yok,0.0,Yok,5,0.8,112,5,2,776,1397,3430.0,19,Var,Var,Var,Pahalı,Kahverengi
1035,Var,1.9,Var,8.0,Yok,11,1.0,173,6,10,831,1709,2002.0,5,Var,Var,Yok,Ucuz,Mavi
589,Var,2.3,Var,1.0,Yok,61,0.6,160,4,10,429,815,2113.0,2,Var,Yok,Var,Ucuz,Gri
1614,Yok,1.2,Yok,1.0,Var,9,0.1,161,3,2,173,1219,1832.0,11,Var,Yok,Yok,Ucuz,Sarı
1248,Yok,2.4,Yok,6.0,Var,9,0.4,89,3,8,71,1686,2454.0,13,Var,Var,Yok,Normal,Mor
1444,Var,2.1,Var,0.0,Yok,6,0.9,103,1,1,1274,1340,712.0,10,Yok,Yok,Yok,Çok Ucuz,Mavi
1724,Var,1.8,Yok,0.0,Var,9,0.8,100,2,1,655,828,3056.0,6,Var,Yok,Yok,Pahalı,Yeşil
1407,Var,2.4,Yok,1.0,Var,22,0.7,104,4,4,1172,1217,2192.0,13,Var,Yok,Var,Normal,Siyah
1967,Yok,0.5,Yok,0.0,Var,46,0.6,199,1,7,518,1374,1567.0,7,Var,Var,Yok,Ucuz,Kahverengi
1973,Yok,1.6,Var,5.0,Var,39,0.8,152,4,6,792,1181,1993.0,5,Var,Yok,Yok,Normal,Turuncu
1063,Yok,1.5,Yok,7.0,Yok,3,0.9,155,4,10,394,849,1919.0,20,Var,Var,Yok,Ucuz,Turkuaz
1615,Var,2.8,Yok,3.0,Yok,9,0.9,117,1,13,542,678,2948.0,3,Var,Var,Yok,Normal,Sarı
815,Yok,2.0,Var,4.0,Yok,51,0.3,85,6,12,982,1291,3469.0,6,Var,Yok,Var,Pahalı,Mavi
1299,Yok,2.8,Var,2.0,Yok,60,0.8,187,8,6,1333,1838,1412.0,20,Yok,Var,Var,Ucuz,Siyah
1306,Var,2.1,Var,2.0,Var,33,0.4,174,3,9,867,1258,2521.0,16,Var,Yok,Yok,Normal,Yeşil
1142,Var,1.4,Var,6.0,Yok,6,0.7,190,8,8,534,855,663.0,5,Yok,Var,Var,Çok Ucuz,Kahverengi
855,Var,0.5,Yok,2.0,Var,59,0.5,159,2,3,1028,1196,1875.0,8,Var,Var,Var,Ucuz,Mor
1002,Yok,2.7,Var,16.0,Var,11,0.4,185,6,18,285,512,961.0,19,Var,Yok,Var,Çok Ucuz,Mor
1695,Var,0.5,Var,2.0,Var,47,0.5,189,5,13,308,1208,1629.0,11,Var,Var,Yok,Ucuz,Mavi
1929,Var,0.5,Var,0.0,Var,19,1.0,163,6,2,349,1051,1913.0,6,Var,Var,Yok,Ucuz,Mor
1307,Yok,1.8,Yok,2.0,Yok,7,0.6,88,7,3,897,1103,1412.0,5,Yok,Yok,Var,Ucuz,Turkuaz
1852,Yok,1.4,Yok,4.0,Var,10,0.7,196,1,18,580,1163,3970.0,11,Var,Yok,Var,Pahalı,Kırmızı
909,Var,0.7,Var,7.0,Yok,47,0.1,146,3,9,410,1643,1244.0,16,Yok,Var,Yok,Çok Ucuz,Pembe
1156,Var,2.7,Var,1.0,Var,30,0.9,173,3,16,945,1913,2735.0,13,Var,Yok,Var,Normal,Gri
1590,Yok,1.5,Var,12.0,Var,14,0.5,187,4,15,1058,1109,2836.0,4,Var,Yok,Yok,Pahalı,Turkuaz
1829,Yok,1.7,Yok,0.0,Yok,36,0.8,112,5,1,291,563,1475.0,7,Yok,Yok,Yok,Ucuz,Kahverengi
1188,Var,1.4,Var,0.0,Var,9,0.6,114,2,0,1339,1558,2896.0,16,Var,Yok,Var,Pahalı,Mavi
1076,Yok,2.3,Var,0.0,Var,14,0.7,191,5,0,1088,1718,2355.0,2,Var,Var,Var,Normal,Gri
536,Yok,2.4,Var,12.0,Var,3,0.3,182,7,14,1386,1539,284.0,4,Var,Var,Yok,Çok Ucuz,Siyah
535,Yok,1.5,Yok,1.0,Var,48,0.7,113,1,4,290,811,740.0,18,Var,Var,Yok,Çok Ucuz,Turuncu
805,Yok,0.8,Yok,1.0,Yok,34,0.6,88,6,2,1262,1538,3647.0,9,Var,Yok,Var,Pahalı,Turuncu
730,Yok,2.1,Var,0.0,Var,4,0.1,89,8,2,302,1247,1210.0,4,Var,Var,Var,Çok Ucuz,Mavi
1497,Var,0.7,Yok,5.0,Yok,32,0.7,92,3,9,1920,1933,1329.0,7,Var,Var,Yok,Normal,Gri
851,Yok,0.5,Yok,3.0,Yok,21,0.4,200,5,7,1171,1263,478.0,10,Var,Yok,Var,Çok Ucuz,Kahverengi
1708,Var,2.4,Var,18.0,Var,49,0.1,109,1,19,233,517,3388.0,16,Var,Var,Var,Pahalı,Turkuaz
1768,Var,2.0,Yok,0.0,Var,2,0.8,88,7,2,1303,1814,3256.0,5,Var,Var,Yok,Pahalı,Beyaz
972,Var,2.7,Var,1.0,Yok,5,1.0,126,4,2,687,816,3035.0,19,Var,Yok,Var,Normal,Turuncu
1077,Var,2.5,Yok,13.0,Var,49,0.6,131,4,14,334,1079,3454.0,2,Var,Yok,Var,Pahalı,Kahverengi
961,Var,1.4,Var,0.0,Var,57,0.6,114,8,3,291,1434,2782.0,7,Var,Var,Var,Normal,Turuncu
1099,Yok,0.5,Yok,13.0,Var,61,0.3,146,3,20,393,1096,1699.0,3,Var,Var,Var,Ucuz,Kahverengi
842,Yok,2.2,Yok,1.0,Yok,7,0.6,188,2,2,20,756,2549.0,19,Yok,Yok,Var,Ucuz,Pembe
757,Var,0.9,Var,4.0,Yok,64,0.5,157,7,5,114,819,3433.0,10,Var,Var,Yok,Normal,Pembe
536,Var,1.4,Yok,0.0,Var,53,0.7,135,3,0,547,705,1211.0,7,Var,Yok,Var,Çok Ucuz,Siyah
1239,Yok,1.2,Var,5.0,Var,52,0.9,122,2,10,590,661,417.0,6,Var,Yok,Var,Çok Ucuz,Beyaz
1519,Yok,2.1,Yok,0.0,Yok,32,0.7,200,1,10,168,1239,2912.0,15,Var,Var,Yok,Normal,Turkuaz
1303,Var,2.1,Yok,6.0,Var,10,0.4,109,8,15,1335,1873,2219.0,15,Var,Var,Var,Normal,Beyaz
644,Var,1.3,Var,7.0,Var,30,0.5,114,1,16,1140,1654,2382.0,19,Var,Yok,Var,Normal,Turuncu
707,Yok,0.5,Yok,0.0,Var,16,0.1,194,2,0,1027,1508,1853.0,12,Var,Var,Var,Ucuz,Turuncu
902,Var,0.6,Var,0.0,Yok,63,0.7,122,5,14,364,1360,3654.0,15,Yok,Var,Var,Pahalı,Turuncu
1442,Yok,1.0,Var,0.0,Yok,27,0.1,192,3,19,231,687,2227.0,20,Var,Var,Yok,Ucuz,Mor
1604,Yok,1.2,Yok,1.0,Yok,6,0.5,191,6,15,68,1042,3564.0,2,Var,Var,Yok,Pahalı,Pembe
1224,Var,1.8,Var,2.0,Var,44,0.2,139,2,9,622,709,621.0,14,Var,Var,Var,Çok Ucuz,Kırmızı
1766,Var,0.5,Var,1.0,Yok,16,0.6,141,5,7,125,1227,3314.0,17,Yok,Yok,Var,Pahalı,Sarı
1905,Var,0.5,Yok,3.0,Var,6,0.5,151,1,5,849,898,1545.0,10,Var,Var,Yok,Ucuz,Yeşil
1733,Var,2.8,Yok,3.0,Var,36,1.0,119,6,20,357,527,3576.0,9,Var,Yok,Yok,Pahalı,Siyah
1564,Yok,1.4,Yok,5.0,Var,26,0.1,129,6,16,117,1115,3742.0,13,Var,Var,Yok,Pahalı,Turkuaz
1159,Yok,2.7,Yok,13.0,Var,28,0.2,80,8,18,378,751,2495.0,9,Var,Var,Var,Normal,Mor
1800,Var,3.0,Yok,5.0,Yok,53,0.3,87,1,12,191,1108,656.0,18,Yok,Yok,Var,Çok Ucuz,Kırmızı
1220,Yok,2.9,Yok,3.0,Yok,62,0.5,125,4,8,403,1933,2589.0,15,Var,Var,Var,Normal,Pembe
1540,Yok,0.7,Var,0.0,Var,29,0.1,157,7,1,318,831,1161.0,5,Var,Yok,Yok,Çok Ucuz,Pembe
1430,Var,0.9,Yok,3.0,Yok,56,0.1,179,3,5,569,906,752.0,17,Yok,Yok,Var,Çok Ucuz,Sarı
1554,Var,0.5,Var,11.0,Yok,5,1.0,124,3,12,395,1579,3635.0,18,Yok,Yok,Yok,Pahalı,Beyaz
640,Yok,1.3,Var,5.0,Var,6,0.6,143,8,20,976,1353,2711.0,8,Var,Var,Yok,Normal,Siyah
1625,Var,0.5,Var,2.0,Var,50,0.1,107,8,17,8,1219,670.0,8,Var,Yok,Yok,Çok Ucuz,Kırmızı
1285,Yok,0.8,Var,4.0,Var,11,0.8,199,5,7,1791,1896,3966.0,2,Var,Var,Var,Pahalı,Kahverengi
915,Var,0.5,Var,9.0,Var,33,0.3,199,2,16,503,986,2156.0,13,Var,Var,Yok,Ucuz,Mor
1441,Yok,2.1,Var,11.0,Var,3,0.1,118,8,17,577,1071,2317.0,7,Var,Yok,Var,Normal,Siyah
803,Yok,0.8,Var,0.0,Yok,18,0.3,106,4,1,627,935,2801.0,12,Yok,Var,Yok,Normal,Gri
1052,Yok,0.9,Yok,1.0,Yok,6,0.8,195,4,16,1191,1839,552.0,11,Yok,Yok,Var,Çok Ucuz,Beyaz
666,Var,0.5,Var,7.0,Var,54,0.4,81,3,13,58,1353,1254.0,9,Var,Var,Var,Çok Ucuz,Gri
652,Var,2.4,Var,9.0,Var,17,0.7,173,5,11,77,559,1974.0,12,Var,Yok,Yok,Çok Ucuz,Kırmızı
1054,Var,1.8,Var,3.0,Var,40,0.8,196,7,10,27,774,2296.0,12,Var,Yok,Var,Ucuz,Kırmızı
1800,Var,0.7,Yok,2.0,Var,8,0.4,100,7,6,400,823,3481.0,8,Var,Yok,Var,Pahalı,Sarı
512,Var,0.5,Var,7.0,Yok,15,0.9,83,3,15,249,1849,2610.0,15,Yok,Var,Var,Normal,Beyaz
930,Var,0.5,Var,3.0,Var,34,0.5,190,4,16,1050,1726,2131.0,6,Var,Yok,Var,Normal,Beyaz
1510,Var,0.9,Var,2.0,Yok,45,0.9,180,5,3,708,1752,3484.0,11,Yok,Var,Var,Pahalı,Sarı
1498,Var,1.2,Var,0.0,Var,14,0.1,191,4,1,111,1167,577.0,12,Var,Var,Yok,Çok Ucuz,Gri
1780,Var,0.5,Yok,6.0,Yok,27,0.1,190,4,11,1331,1463,2776.0,14,Var,Var,Var,Pahalı,Kahverengi
727,Var,2.5,Var,0.0,Var,64,0.2,193,1,9,664,711,3654.0,16,Var,Var,Yok,Pahalı,Yeşil
1322,Yok,2.3,Var,1.0,Var,35,0.1,157,1,3,443,708,3684.0,6,Var,Yok,Yok,Pahalı,Gri
987,Yok,1.3,Var,0.0,Var,61,0.4,107,3,9,581,820,3963.0,20,Var,Yok,Var,Pahalı,Mavi
1260,Yok,0.6,Yok,5.0,Var,13,1.0,106,6,6,165,736,2710.0,8,Var,Var,Yok,Normal,Sarı
1661,Yok,1.9,Var,5.0,Yok,23,1.0,172,5,10,846,1634,2676.0,11,Yok,Var,Var,Pahalı,Siyah
831,Yok,1.7,Var,7.0,Var,26,0.7,177,5,11,511,621,1704.0,20,Var,Var,Var,Çok Ucuz,Turuncu
1494,Yok,1.6,Var,4.0,Var,24,0.2,101,1,17,979,1190,3614.0,9,Var,Yok,Yok,Pahalı,Kırmızı
1815,Yok,2.8,Yok,2.0,Yok,33,0.6,159,4,17,607,748,1482.0,2,Var,Yok,Yok,Ucuz,Sarı
869,Yok,1.9,Yok,0.0,Yok,2,0.6,197,7,3,519,533,3249.0,12,Yok,Yok,Var,Normal,Pembe
1128,Var,0.5,Var,6.0,Yok,33,0.6,147,8,7,938,1226,1440.0,19,Var,Yok,Yok,Ucuz,Turuncu
832,Yok,0.7,Var,2.0,Var,39,0.7,103,4,3,125,1504,1799.0,11,Var,Yok,Var,Ucuz,Mavi
712,Yok,0.5,Yok,6.0,Yok,27,0.5,86,2,11,1245,1309,2001.0,12,Var,Var,Var,Ucuz,Turkuaz
740,Yok,1.8,Yok,1.0,Yok,12,0.2,123,1,11,935,1147,1105.0,19,Yok,Var,Var,Çok Ucuz,Sarı
1926,Var,1.1,Yok,13.0,Var,50,0.2,179,6,17,371,1000,3809.0,17,Var,Var,Yok,Pahalı,Turkuaz
1741,Var,1.8,Yok,0.0,Yok,14,0.7,143,8,0,730,1895,3387.0,3,Var,Yok,Yok,Pahalı,Turkuaz
603,Yok,1.5,Yok,8.0,Yok,12,0.7,114,6,20,1003,1284,1543.0,19,Var,Var,Yok,Ucuz,Mor
1778,Yok,0.5,Yok,0.0,Var,23,0.5,101,6,11,1028,1445,3941.0,13,Var,Yok,Yok,Pahalı,Kahverengi
616,Yok,1.9,Var,13.0,Var,44,0.8,81,3,17,651,1618,3366.0,13,Var,Var,Yok,Pahalı,Sarı
1887,Var,3.0,Var,6.0,Var,17,0.2,126,8,7,1172,1798,3348.0,16,Var,Var,Yok,Pahalı,Sarı
1487,Yok,0.5,Yok,6.0,Var,57,0.7,84,3,12,140,768,2563.0,14,Var,Yok,Yok,Normal,Sarı
1479,Var,1.8,Var,0.0,Var,24,0.1,146,6,0,327,645,,5,Var,Yok,Yok,Pahalı,Turuncu
1996,Var,2.8,Var,0.0,Var,7,0.1,138,5,4,937,1083,1258.0,16,Var,Yok,Yok,Ucuz,Gri
1607,Yok,1.1,Var,6.0,Var,20,1.0,192,2,8,776,1005,885.0,14,Var,Var,Yok,Çok Ucuz,Mor
1081,Var,2.5,Var,13.0,Yok,49,1.0,99,3,17,284,519,325.0,6,Yok,Yok,Var,Çok Ucuz,Siyah
1325,Var,0.5,Yok,0.0,Var,13,1.0,133,4,8,1353,1915,3707.0,18,Var,Var,Yok,Pahalı,Mavi
1628,Yok,0.5,Yok,5.0,Var,33,0.9,101,6,8,412,643,3361.0,13,Var,Yok,Yok,Pahalı,Pembe
768,Var,0.9,Yok,16.0,Var,56,0.1,113,1,20,418,515,952.0,16,Var,Yok,Var,Çok Ucuz,Beyaz
1308,Yok,1.9,Yok,0.0,Var,61,0.7,106,3,7,59,1215,3355.0,4,Var,Yok,Var,Pahalı,Yeşil
1510,Var,2.5,Var,11.0,Yok,47,0.7,138,2,13,118,1170,887.0,5,Yok,Yok,Yok,Çok Ucuz,Kahverengi
1692,Var,2.1,Yok,3.0,Var,61,0.9,176,6,12,975,1996,1354.0,19,Var,Yok,Yok,Ucuz,Mor
1673,Var,1.6,Yok,2.0,Yok,42,0.5,182,5,6,214,679,3094.0,20,Yok,Yok,Yok,Normal,Pembe
1656,Var,0.5,Var,8.0,Var,38,0.1,105,7,17,506,519,1499.0,19,Var,Yok,Var,Ucuz,Kahverengi
1310,Yok,1.4,Yok,0.0,Yok,33,0.4,105,1,14,806,1016,1301.0,19,Yok,Yok,Var,Ucuz,Mor
1144,Var,1.5,Var,0.0,Yok,21,0.4,189,1,11,159,724,3252.0,8,Yok,Yok,Yok,Normal,Yeşil
1077,Var,1.7,Var,1.0,Yok,58,0.8,86,7,13,135,1892,3902.0,3,Var,Yok,Yok,Pahalı,Kahverengi
1963,Var,1.0,Yok,16.0,Var,34,0.1,157,2,17,1136,1813,714.0,2,Var,Yok,Var,Ucuz,Kırmızı
503,Var,1.8,Var,1.0,Var,13,0.7,131,1,4,1495,1688,3117.0,9,Var,Yok,Var,Pahalı,Turkuaz
1127,Var,2.9,Var,5.0,Var,57,0.8,163,1,13,928,1049,2048.0,17,Var,Var,Var,Ucuz,Mavi
1602,Yok,2.7,Yok,4.0,Var,46,0.6,118,1,5,273,1062,1862.0,2,Var,Yok,Var,Ucuz,Turuncu
1035,Yok,0.6,Var,2.0,Var,44,0.5,99,3,3,236,1960,,12,Var,Var,Yok,Pahalı,Beyaz
696,Yok,0.5,Yok,6.0,Yok,51,0.3,197,3,8,649,907,2630.0,9,Yok,Yok,Var,Ucuz,Yeşil
1922,Yok,0.5,Yok,15.0,Var,42,0.6,153,8,16,725,1882,3564.0,17,Var,Yok,Yok,Pahalı,Turkuaz
1993,Var,0.5,Yok,10.0,Var,27,0.3,147,8,11,150,510,2437.0,9,Var,Yok,Yok,Normal,Turkuaz
922,Var,0.7,Yok,0.0,Var,47,1.0,157,8,14,1295,1808,1464.0,12,Var,Yok,Var,Ucuz,Beyaz
1426,Var,0.8,Yok,2.0,Var,42,0.6,84,3,10,715,1163,1356.0,16,Var,Yok,Var,Ucuz,Mor
1694,Yok,1.8,Yok,0.0,Yok,53,1.0,186,6,0,1194,1208,1653.0,6,Var,Yok,Yok,Normal,Turkuaz
1949,Var,0.5,Var,2.0,Var,31,0.1,145,5,9,837,1182,832.0,19,Var,Yok,Yok,Ucuz,Siyah
1042,Yok,2.7,Var,16.0,Var,50,0.8,93,7,18,727,1705,3215.0,20,Var,Var,Var,Pahalı,Yeşil
745,Var,0.6,Var,5.0,Yok,35,0.8,102,8,10,89,1538,2459.0,16,Var,Var,Yok,Ucuz,Turkuaz
1825,Yok,1.1,Var,13.0,Var,17,0.1,157,4,18,1621,1773,3130.0,2,Var,Yok,Var,Pahalı,Beyaz
1142,Var,1.2,Yok,0.0,Yok,2,0.6,114,6,0,623,769,1747.0,14,Yok,Var,Yok,Ucuz,Beyaz
835,Yok,1.1,Var,2.0,Yok,7,0.2,101,4,7,323,1604,1181.0,15,Var,Var,Var,Çok Ucuz,Kırmızı
947,Var,0.5,Yok,1.0,Var,51,0.1,144,2,15,193,887,2915.0,6,Var,Var,Var,Normal,Beyaz
510,Yok,2.6,Yok,0.0,Yok,33,0.1,110,6,10,1052,1897,1693.0,5,Yok,Var,Yok,Ucuz,Yeşil
999,Yok,1.7,Yok,6.0,Yok,49,0.6,132,1,17,608,1970,1598.0,8,Yok,Var,Yok,Ucuz,Yeşil
1498,Var,0.7,Yok,3.0,Var,8,0.1,170,7,4,347,1076,3358.0,19,Var,Yok,Yok,Pahalı,Siyah
787,Var,0.5,Yok,15.0,Yok,11,0.6,93,1,16,806,1423,2934.0,14,Var,Yok,Var,Normal,Gri
987,Var,2.3,Yok,9.0,Yok,17,0.8,124,7,17,887,1274,3885.0,14,Var,Var,Yok,Pahalı,Gri
903,Yok,1.0,Var,0.0,Var,50,0.4,91,1,0,1230,1235,711.0,10,Var,Var,Yok,Çok Ucuz,Yeşil
1278,Var,1.0,Yok,7.0,Var,24,0.8,170,3,16,1352,1775,3141.0,11,Var,Var,Var,Pahalı,Mor
1083,Var,2.0,Yok,3.0,Yok,41,0.7,158,5,5,937,1164,1543.0,10,Yok,Yok,Var,Ucuz,Kırmızı
726,Yok,2.2,Yok,,Var,40,0.8,94,4,20,323,978,1342.0,4,Var,Var,Var,Çok Ucuz,Beyaz
914,Var,0.5,Yok,0.0,Var,26,0.7,147,4,0,706,721,1122.0,2,Var,Var,Var,Çok Ucuz,Kahverengi
1174,Var,0.9,Yok,7.0,Yok,30,1.0,147,4,20,744,1244,804.0,16,Yok,Var,Var,Çok Ucuz,Siyah
1562,Var,1.3,Var,1.0,Var,7,0.2,190,5,15,642,1533,2243.0,6,Var,Yok,Yok,Normal,Kahverengi
803,Var,2.1,Yok,7.0,Yok,17,1.0,198,4,11,344,1440,2680.0,4,Var,Yok,Var,Normal,Pembe
1193,Var,2.3,Yok,7.0,Yok,20,1.0,158,7,13,1442,1904,1958.0,2,Var,Yok,Yok,Normal,Sarı
1658,Var,1.4,Yok,0.0,Var,39,0.7,182,1,5,410,522,3483.0,15,Var,Yok,Var,Pahalı,Sarı
1059,Yok,0.5,Var,0.0,Yok,50,0.7,182,8,1,519,1545,619.0,18,Yok,Var,Var,Çok Ucuz,Yeşil
867,Var,1.5,Yok,0.0,Var,57,0.1,159,4,0,289,724,2157.0,18,Var,Yok,Yok,Ucuz,Sarı
1939,Var,2.8,Var,0.0,Var,55,0.6,199,4,10,320,520,1047.0,18,Var,Var,Yok,Çok Ucuz,Mavi
1577,Yok,1.0,Var,0.0,Var,64,0.1,105,3,7,116,1432,2967.0,7,Var,Var,Var,Pahalı,Pembe
1698,Yok,2.1,Yok,5.0,Var,18,0.9,160,6,20,363,994,796.0,14,Var,Yok,Var,Çok Ucuz,Kırmızı
1470,Var,1.7,Var,6.0,Yok,45,0.1,121,1,9,777,1090,3259.0,14,Var,Yok,Var,Pahalı,Gri
827,Yok,1.1,Var,2.0,Var,18,0.9,160,2,16,448,821,1663.0,17,Var,Var,Var,Çok Ucuz,Yeşil
1263,Var,2.0,Yok,0.0,Yok,5,0.4,146,6,3,954,1609,1958.0,4,Var,Var,Var,Normal,Kırmızı
1015,Var,0.8,Yok,5.0,Yok,12,0.5,102,3,14,335,679,2293.0,2,Yok,Var,Yok,Ucuz,Yeşil
1871,Yok,2.1,Yok,4.0,Var,41,0.4,144,8,5,275,1966,2727.0,11,Var,Yok,Yok,Pahalı,Gri
1567,Yok,0.5,Var,3.0,Yok,22,0.5,119,6,6,545,1621,2312.0,18,Var,Yok,Yok,Normal,Sarı
1770,Var,2.3,Yok,0.0,Yok,9,0.6,183,6,5,1098,1373,3785.0,14,Var,Yok,Var,Pahalı,Yeşil
1957,Yok,0.9,Var,11.0,Yok,31,0.6,181,3,16,396,1732,3801.0,7,Var,Yok,Var,Pahalı,Kırmızı
928,Var,0.5,Var,11.0,Yok,56,0.7,80,8,13,221,1243,666.0,5,Yok,Var,Yok,Çok Ucuz,Yeşil
592,Yok,0.8,Var,1.0,Yok,52,0.9,103,7,10,332,970,1507.0,4,Yok,Yok,Var,Çok Ucuz,Siyah
1899,Var,0.6,Yok,0.0,Yok,26,0.1,151,2,0,96,814,336.0,4,Var,Yok,Var,Çok Ucuz,Sarı
1783,Yok,2.9,Var,2.0,Yok,42,0.7,104,6,8,1081,1979,387.0,3,Yok,Var,Yok,Ucuz,Pembe
580,Var,2.1,Var,0.0,Yok,24,0.4,135,4,5,404,898,3565.0,8,Var,Yok,Var,Normal,Pembe
1184,Yok,1.5,Var,1.0,Var,48,0.6,191,1,6,519,1577,3315.0,14,Var,Var,Var,Pahalı,Turkuaz
618,Yok,0.6,Yok,8.0,Yok,16,0.2,143,1,14,1105,1602,2262.0,4,Yok,Var,Yok,Normal,Kırmızı
718,Yok,2.8,Yok,10.0,Yok,59,0.8,113,6,13,1185,1387,1824.0,3,Var,Var,Yok,Ucuz,Kırmızı
719,Var,0.5,Var,0.0,Var,23,0.4,113,6,9,431,1727,3990.0,12,Var,Var,Var,Pahalı,Sarı
1503,Var,0.7,Yok,10.0,Var,43,0.2,166,4,14,841,1304,2122.0,2,Var,Yok,Yok,Normal,Turuncu
911,Yok,1.4,Var,3.0,Yok,14,0.7,199,4,4,1563,1692,2933.0,11,Yok,Var,Yok,Pahalı,Kırmızı
1394,Var,0.9,Var,10.0,Var,62,0.3,175,5,13,1010,1565,473.0,20,Var,Var,Yok,Çok Ucuz,Mor
1512,Yok,0.6,Var,1.0,Var,54,0.4,134,3,2,220,1838,3366.0,11,Var,Yok,Var,Pahalı,Turuncu
1210,Yok,0.5,Yok,0.0,Yok,63,0.1,93,5,0,1177,1462,2394.0,7,Yok,Yok,Yok,Normal,Yeşil
840,Yok,0.9,Var,6.0,Yok,33,0.7,150,6,7,1482,1591,2072.0,19,Yok,Var,Yok,Normal,Yeşil
1039,Yok,0.5,Var,8.0,Yok,47,0.2,130,8,9,384,1878,1742.0,15,Var,Yok,Yok,Ucuz,Mor
1562,Var,1.2,Var,0.0,Var,52,0.1,105,7,9,480,728,2829.0,3,Var,Var,Var,Normal,Turuncu
1995,Var,0.5,Yok,6.0,Yok,26,0.2,129,1,15,649,1104,1322.0,7,Yok,Var,Var,Ucuz,Gri
578,Var,0.5,Yok,9.0,Var,62,0.3,170,5,13,626,1134,2977.0,5,Var,Var,Var,Normal,Beyaz
827,Var,0.6,Var,9.0,Var,35,0.2,87,6,17,23,826,2367.0,15,Var,Yok,Var,Ucuz,Yeşil
814,Var,1.1,Var,2.0,Yok,41,0.8,177,2,10,1092,1406,1944.0,12,Var,Yok,Yok,Ucuz,Turkuaz
1469,Yok,0.5,Yok,3.0,Var,58,0.5,150,7,8,1699,1850,1571.0,2,Var,Yok,Yok,Normal,Turkuaz
1269,Var,1.3,Yok,14.0,Yok,52,0.8,118,2,15,1597,1920,665.0,5,Yok,Yok,Yok,Ucuz,Sarı
918,Yok,0.9,Var,1.0,Yok,8,0.1,123,7,5,653,671,1652.0,14,Var,Var,Yok,Ucuz,Mor
1043,Var,0.5,Yok,7.0,Yok,42,0.1,111,3,8,716,1626,912.0,6,Yok,Var,Yok,Çok Ucuz,Mavi
1494,Yok,1.9,Yok,2.0,Var,47,0.4,129,2,9,207,1177,3202.0,14,Var,Yok,Yok,Pahalı,Pembe
1290,Var,1.4,Var,19.0,Var,35,0.3,110,4,20,405,742,879.0,8,Var,Yok,Yok,Çok Ucuz,Siyah
1265,Yok,1.5,Yok,7.0,Yok,49,0.7,182,5,16,690,836,1362.0,12,Yok,Yok,Var,Ucuz,Siyah
1551,Yok,1.1,Yok,4.0,Yok,51,0.1,88,5,6,1738,1995,3844.0,4,Yok,Var,Yok,Pahalı,Kahverengi
600,Yok,0.5,Yok,0.0,Yok,14,0.8,112,5,2,320,747,1655.0,9,Yok,Yok,Yok,Çok Ucuz,Siyah
1957,Yok,1.2,Var,18.0,Var,36,0.8,151,2,19,1194,1727,1115.0,18,Var,Yok,Var,Ucuz,Turuncu
899,Yok,0.5,Var,13.0,Var,57,0.9,172,2,18,788,1331,364.0,7,Var,Var,Yok,Çok Ucuz,Turuncu
1328,Var,0.5,Yok,5.0,Var,27,0.3,144,3,18,602,1156,2674.0,5,Var,Yok,Var,Normal,Turkuaz
564,Yok,1.8,Var,0.0,Var,51,0.5,168,3,1,912,1980,1074.0,15,Var,Var,Yok,Çok Ucuz,Mor
1367,Yok,2.9,Yok,4.0,Yok,56,0.8,176,2,6,36,642,299.0,10,Yok,Var,Yok,Çok Ucuz,Mor
1928,Var,1.8,Yok,9.0,Var,19,1.0,187,3,20,691,1580,3777.0,13,Var,Var,Var,Pahalı,Siyah
1902,Yok,2.8,Var,6.0,Yok,50,0.8,124,8,9,1142,1393,343.0,18,Yok,Var,Yok,Çok Ucuz,Beyaz
1179,Var,0.8,Yok,1.0,Yok,5,0.9,154,5,17,913,1429,543.0,18,Yok,Yok,Var,Çok Ucuz,Kırmızı
1067,Var,1.7,Var,0.0,Yok,58,0.5,135,7,0,79,681,706.0,16,Yok,Var,Yok,Çok Ucuz,Turkuaz
1936,Yok,2.1,Var,10.0,Var,46,0.6,104,3,20,667,1036,2552.0,13,Var,Yok,Yok,Normal,Turuncu
